Year,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Total
1986,,52175,112706,80606,53031,49670,58075,53576,71363,70293,37281,638776
1987,,64877,107464,86873,58392,67388,49331,48230,59881,119531,43038,705005
1988,,46249,114899,93392,52670,49437,68288,56214,31402,113854,58584,684989
1989,,50330,115510,86635,53715,38119,52247,40096,65103,98122,54061,653938
1990,,60074,85446,71633,47264,51361,109077,33997,75353,114977,56791,705973
1991,,53869,110920,67441,41890,51594,89856,56666,73578,112582,53277,710673
1992,,46646,100116,70281,39974,47703,62831,54709,88799,118006,55606,684671
1993,,73448,83573,58207,45768,48377,58633,45781,69094,119448,62861,665190
1994,,15546,80027,89212,86798,60788,47894,34876,72736,131604,58802,678283
1995,,42479,69279,89237,43358,56257,58686,93179,47796,130092,68940,699303
1996,,34455,110574,89309,54391,63995,43012,86285,74508,131287,71613,759429
1997,,44106,54500,28736,56008,65099,82675,57399,77299,136939,31379,634140
1998,,57948,110087,94660,53131,61238,55598,79440,72417,122276,72561,779356
1999,,49812,104352,19762,55650,57779,26276,89598,87812,136832,79574,707447
2000,,53331,107971,94959,69580,60275,58343,96904,86075,137513,81773,846724
2001,,47940,77747,46540,51921,54116,57330,84975,84538,113450,76620,695177
2002,,54036,86533,80685,34563,53226,73763,67634,46876,118905,80756,696977
2003,,61364,115016,97655,54579,65923,64152,96614,78855,129589,70208,833955
2004,,61289,118640,95043,60296,61288,57718,91556,88822,119461,82206,836319
2005,,52201,103512,90153,52983,59945,61306,92233,81722,111634,90241,795930
2006,,52527,94963,91768,55989,30840,65976,103323,81734,145461,63375,785956
2007,,57798,102325,93473,63032,69817,75746,88801,63231,145955,98433,858611
2008,35215,42666,87457,85495,54532,71199,67028,80094,63310,76296,101775,765067
2009,37932,60369,105885,70294,62945,71537,86240,108929,90166,79272,104370,877939
2010,47677,77485,131699,112130,78748,81553,69735,125573,105073,151647,110567,1091887
2011,44167,72550,127674,107112,73729,74961,49710,112822,94314,146635,105499,1009173
2012,42854,67508,118433,100744,51781,75564,75644,101272,92418,139484,99595,965297
2013,42626,72794,116267,105310,67770,68092,68252,102176,82163,122223,98221,927563
2014,46478,73571,126666,94691,62499,66758,63616,93808,87827,126629,97604,929748
2015,50327,90954,126666,97906,63989,69687,71348,104887,95685,140886,107397,1019732
2016,40449,78364,119117,109429,75243,75995,72654,104852,85473,150747,116041,1028364
2017,57083,71211,113291,99148,55041,76844,75041,104409,100516,148424,113470,1014478
